id,parent_id,task_no,field,project_name,departments,chunk_type,section_label,part_index,part_count,token_count,embedding_token_count,content_preview
seoul_core_projects_20260310_task_001_policy_context_01,seoul_core_projects_20260310_task_001,1,약자동행,주거비 부담 완화를 위한 금융지원 효과 분석,주택실,policy_context,정책배경·목적,1,1,124,200,분야: 약자동행 핵심사업: 주거비 부담 완화를 위한 금융지원 연관사업: 주거비 부담 완화를 위한 금융지원 담당실국: 주택실  ## 추진배경 및 목적 - 전세물량 감소·가격 상승에 따른 전월세 시장 불안으로 금융지원 ...
seoul_core_projects_20260310_task_001_analysis_design_01,seoul_core_projects_20260310_task_001,1,약자동행,주거비 부담 완화를 위한 금융지원 효과 분석,주택실,analysis_design,분석설계·활용데이터,1,1,105,182,## 주요내용 - 확대·신규 사업별 지원 전·후 주거비 부담 변화 분석 및 타당성 검토 - 지원군·비지원군 비교 및 연령·소득·가구유형별 효과 차이 분석 분석기술: - 통계 분석 - 데이터 시각화 - 설문 기반 만족...
seoul_core_projects_20260310_task_001_expected_results_01,seoul_core_projects_20260310_task_001,1,약자동행,주거비 부담 완화를 위한 금융지원 효과 분석,주택실,expected_results,예상결과·유사사례,1,1,116,193,## 분석결과(예시) - 금융지원 정책의 주거비 부담 완화 효과 비교·분석 및 효과 확인 시각화 예시: - 선정자 현황 시각화 - 설문 기반 만족도 분석 - 비교군 차이 통계 분석 - 참고: 서울시 청년월세 신청자들...
seoul_core_projects_20260310_task_001_administrative_use_01,seoul_core_projects_20260310_task_001,1,약자동행,주거비 부담 완화를 위한 금융지원 효과 분석,주택실,administrative_use,실국 활용방안,1,1,66,141,"## 실국 활용방안(예시) 활용 시나리오: A주무관은 금융지원 효과의 계층별 차이를 분석하여 빈곤·취약계층 중심으로 지원을 정교화하고, 사업별 성과에 기반한 예산 재배분 및 차등지원 기준을 마련하였다."
seoul_core_projects_20260310_task_002_policy_context_01,seoul_core_projects_20260310_task_002,2,약자동행,전세사기 위험 선행신호 탐지 모형 개발,주택실,policy_context,정책배경·목적,1,1,152,230,분야: 약자동행 핵심사업: 투명한 정보와 현장밀착 대응으로 전세사기 근절 연관사업: 투명한 정보와 현장밀착 대응으로 전세사기 근절 담당실국: 주택실  ## 추진배경 및 목적 - 임대인 신용정보를 분석하여 ‘전세사기 ...
seoul_core_projects_20260310_task_002_analysis_design_01,seoul_core_projects_20260310_task_002,2,약자동행,전세사기 위험 선행신호 탐지 모형 개발,주택실,analysis_design,분석설계·활용데이터,1,1,144,224,## 주요내용 - 사기 임대인 신용 악화 궤적 유형화: 신용점수 등 변화 궤적을 이용한 분류 - 문제 계약 시점 기준: 대조군과의 비교로 특정 지표의 유의미한 이탈 감지 - 시계열 기반 예측 모형 구축 및 성능 비교...
seoul_core_projects_20260310_task_002_expected_results_01,seoul_core_projects_20260310_task_002,2,약자동행,전세사기 위험 선행신호 탐지 모형 개발,주택실,expected_results,예상결과·유사사례,1,1,153,232,## 분석결과(예시) - 궤적 유형화 결과: 사기 임대인의 신용 변화 궤적이 4개 잠재유형으로 분류 - 선행신호 탐지: 사기 발생 평균 9~12개월 전부터 신용점수 하락 가속 등 - 조기경보 기준안: 직전 6개월간 ...
seoul_core_projects_20260310_task_002_administrative_use_01,seoul_core_projects_20260310_task_002,2,약자동행,전세사기 위험 선행신호 탐지 모형 개발,주택실,administrative_use,실국 활용방안,1,1,93,171,## 실국 활용방안(예시) - 전세사기 위험분석 리포트 고도화: ‘위험 추세 지표’(예: 최근 6개월 변화) 추가 반영 - 선제적 행정 조치 연계: 조기경보 기준 임대인이 다수 분포한 지역 현장 점검 집중 등 - 제...
seoul_core_projects_20260310_task_003_policy_context_01,seoul_core_projects_20260310_task_003,3,매력도시,DDP 일대 공간 재창조를 위한 방문자 구조 분석,"경제실, 도시공간본부, 디자인정책관",policy_context,정책배경·목적,1,1,125,209,"분야: 매력도시 핵심사업: DDP일대 공간 재창조 및 활성화 연관사업: DDP일대 공간 재창조 및 활성화 담당실국: 경제실, 도시공간본부, 디자인정책관  ## 추진배경 및 목적 - K-컬처 중심 고밀복합개발 추진에 ..."
seoul_core_projects_20260310_task_003_analysis_design_01,seoul_core_projects_20260310_task_003,3,매력도시,DDP 일대 공간 재창조를 위한 방문자 구조 분석,"경제실, 도시공간본부, 디자인정책관",analysis_design,분석설계·활용데이터,1,1,81,168,## 주요내용 - DDP 방문자 특성 분석(연령·거주지·방문 목적·체류시간 등) - DDP 일대 공간 기능 구성 및 활동 연계 분석 분석기술: - 통계 분석 및 공간분석 활용데이터: - DDP 방문객 유동인구 및 이...
seoul_core_projects_20260310_task_003_expected_results_01,seoul_core_projects_20260310_task_003,3,매력도시,DDP 일대 공간 재창조를 위한 방문자 구조 분석,"경제실, 도시공간본부, 디자인정책관",expected_results,예상결과·유사사례,1,1,86,172,## 분석결과(예시) - 방문자 특성 및 공간 구조 분석을 통해 공간 기능 재편 및 활성화 전략 도출 시각화 예시: - 체류인구 카드 사용 비중 - 인구 규모 분석 - 체류 인구 특성 - 참고: 한눈에 보는 생활인구...
seoul_core_projects_20260310_task_003_administrative_use_01,seoul_core_projects_20260310_task_003,3,매력도시,DDP 일대 공간 재창조를 위한 방문자 구조 분석,"경제실, 도시공간본부, 디자인정책관",administrative_use,실국 활용방안,1,1,108,192,"## 실국 활용방안(예시) - DDP 일대 고밀복합개발 및 공간 재편 전략 수립 근거로 활용 활용 시나리오: A주무관은 DDP 방문자 특성 및 직·주·락 분석 결과, 야간 시간대 체류 인구가 급감하고 특정 구간의 보..."
seoul_core_projects_20260310_task_004_policy_context_01,seoul_core_projects_20260310_task_004,4,매력도시,강북 노후지역 개발 최적화 분석,도시공간본부,policy_context,정책배경·목적,1,1,134,204,분야: 매력도시 핵심사업: 강북지역 혁신거점 조성 연관사업: 강북지역 혁신거점 조성 담당실국: 도시공간본부  ## 추진배경 및 목적 - 강북 노후지역의 신산업 거점 및 복합 도시로의 전환 개발사업 추진 - 참고: 2...
seoul_core_projects_20260310_task_004_analysis_design_01,seoul_core_projects_20260310_task_004,4,매력도시,강북 노후지역 개발 최적화 분석,도시공간본부,analysis_design,분석설계·활용데이터,1,1,107,180,## 주요내용 - (용산전자상가) 8개소 개발 우선순위 도출 및 신산업·복합기능 배치 적정성 평가 - (홍제역) 복합시설 최적 배치 방안 도출 및 개발 효과 분석 분석기술: - 공간정보 분석 - 계층분석법(AHP) ...
seoul_core_projects_20260310_task_004_expected_results_01,seoul_core_projects_20260310_task_004,4,매력도시,강북 노후지역 개발 최적화 분석,도시공간본부,expected_results,예상결과·유사사례,1,1,115,186,"## 분석결과(예시) - 8개소 중 AI·R&D 신산업 거점 개발 우선순위 상위 3개 대상지 도출 - 참고: 예 : 노후도(40%), 접근성(30%) 등 가중치 기반 A, B, C 지구 도출 - 복합기능 최적 구성 ..."
seoul_core_projects_20260310_task_004_administrative_use_01,seoul_core_projects_20260310_task_004,4,매력도시,강북 노후지역 개발 최적화 분석,도시공간본부,administrative_use,실국 활용방안,1,1,29,99,## 실국 활용방안(예시) - 분석 순위 기반 착공 지역 결정 및 복합시설 통합개발 방안 수립
seoul_core_projects_20260310_task_005_policy_context_01,seoul_core_projects_20260310_task_005,5,매력도시,문화비축기지 재방문객 특성 및 상권 매출 분석,미래공간기획관,policy_context,정책배경·목적,1,1,137,212,"분야: 매력도시 핵심사업: 문화비축기지 활성화 연관사업: 문화비축기지 활성화 담당실국: 미래공간기획관  ## 추진배경 및 목적 - 기존 방문객 특성 중심 분석에서 나아가, 문화비축기지 활성화를 위한 재방문객 특성과 ..."
seoul_core_projects_20260310_task_005_analysis_design_01,seoul_core_projects_20260310_task_005,5,매력도시,문화비축기지 재방문객 특성 및 상권 매출 분석,미래공간기획관,analysis_design,분석설계·활용데이터,1,1,131,207,## 주요내용 - (재방문 분석) 방문 이력 데이터를 활용한 재방문율 및 이동 동선 분석 - (상권 분석) 카드매출 데이터를 활용한 행사 전·후 상권 매출 증감 효과 분석 - (확장성 분석) 행사 규모별 방문객 유입...
seoul_core_projects_20260310_task_005_expected_results_01,seoul_core_projects_20260310_task_005,5,매력도시,문화비축기지 재방문객 특성 및 상권 매출 분석,미래공간기획관,expected_results,예상결과·유사사례,1,1,56,132,## 분석결과(예시) - 재방문율 높은 콘텐츠 정례화 전략 수립 및 행사-상권 연계 프로그램 운영 시각화 예시: - 재방문객 분석 - 방문객 유형별 상권 매출 분석 - 이동 동선 분석
seoul_core_projects_20260310_task_005_administrative_use_01,seoul_core_projects_20260310_task_005,5,매력도시,문화비축기지 재방문객 특성 및 상권 매출 분석,미래공간기획관,administrative_use,실국 활용방안,1,1,92,167,"## 실국 활용방안(예시) - 행사 규모별 적정 운영 전략 및 홍보 타겟 설정 근거 활용 활용 시나리오: A주무관은 재방문객 유형과 행사별 매출 효과를 분석하여 우선 추진 콘텐츠를 선정, 행사 규모별 상권 연계 운영..."
seoul_core_projects_20260310_task_006_policy_context_01,seoul_core_projects_20260310_task_006,6,매력도시,AI기반 시유지 변화 탐지 및 자동 프로파일링 구축,미래공간기획관,policy_context,정책배경·목적,1,1,123,198,분야: 매력도시 핵심사업: 민관동행사업 추진 연관사업: 민관동행사업 추진 담당실국: 미래공간기획관  ## 추진배경 및 목적 - 단순 현황 조사를 넘어 최근 4~5년간 주변 공간 · 인구 · 상권 변화까지 반영한 데이...
seoul_core_projects_20260310_task_006_analysis_design_01,seoul_core_projects_20260310_task_006,6,매력도시,AI기반 시유지 변화 탐지 및 자동 프로파일링 구축,미래공간기획관,analysis_design,분석설계·활용데이터,1,1,128,205,## 주요내용 - (공간변화) 위성 데이터를 활용한 최근 4~5년 시유지 중심 및 주변 변화 탐지 - (수요분석) 인구·유동·상권·생활 SOC 현황을 반영한 사업 수요 분석 - (보고서 생성) 현황·변화 등 사업모델...
